No.; Tex;Result
1; "- قيل لـ #رجل عاقل : - ما نراك تعيب أحداً ! - فقال : - لستُ عن #نفسي راضياً.. حتى أتفرغ لـ ذم #الناس.  #العراق;True
2; "ساحة الحبوبي الان : استعداد اهالي الناصرية الأبطال اليوم لمليونية الخضراء سيتم التوجه لبغداد عند الساعة 12:00 ..  #العراق  #نريد_وطن #الناصرية #العراق_ينتفض #الثورة_للشهداء #الحرية_للمعتقلين #مطالبنا_وين https://t.co/Y7F0ZJnYc7;True
3; "RT @alsuna2013: من هم #الشيعة ؟ يخبركم هذا المهرج الجديد #كرونا_في_الكويت #العراق #طالبان https://t.co/UVWfm4QjEz;False
4; "RT @Ruaida_Altern: ️الان .. فيديو وصلني خصيصا  طريق بغداد - بصرة  وصول الجراد وباعداد كبيرة  الله يحفظك اخوية ويسلمكم يا اهل الطيب اهل #ال…;True
5; "لــآ احد ابداً ينسى وطنه مهما كانت ذكرياته مره .. #العراق https://t.co/LpNeCMbo2X;True
6; "خسرنا نحن وربحوا هم...    قد نجا من لم يعد.      #هنيئاً #العراق;N
7; "عاااجل: #تركيا توقف جميع الرحلات البرية والجوية مع #العراق  #كورونا;IDK
8; "RT @abo_holeegah: "" هذا وزني بعد مضي اثنين و عشرين يوم من الاضراب 75:6 كجم أي بنقص 1400 جم عن وزني السابق و لم تستجب حتى الآن أيا من جمعيات…;N
9; "الله يستر بلكي يجيب وياه سايبا مو كورونا  شلون توقيت لا هلا ولا مرحبا;False
10; "RT @abo_holeegah: "" الاعلامي محمد الرزيقي مقدم نشرة الأخبار في قناة اليمن اليوم الفضائية سابقا , و مدير اذاعة هو اليمن حاليا , نشر مقال عن…;IDK
11; "RT @abo_holeegah: "" الاخ احمد الكبسي اعلامي يمني مراسل قناة العهد الفضائية و مذيع بقناة اليمن اليوم نشر مقال عن اضرابي في صفحته في الفيسبوك…;IDK
12; RT @EX_MOSLIM_IRAQI: ⛔️#عاجـــــــــــــــــــــــل :: كويتيه تطمئن مصابين #كورونا_الجديد : أنتو راجعين من مكان طاهر من قُم .. ليش خايفين;True
13; صدگ يعني لو سادين الحدود من البداية مو احسن مييسدون الگهاوي هسة والناس تتضرر !  #العرا;N
14; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;True
15;  #العراق المليشيات المدعومة ايرانيا توجه تهديدا لكل من يتعامل مع القوات الأجنبية في العراق. https://t.co/MFhOYnrQG;False
16; "RT @hu_dly: الدول الإقليمية أدركت أن في #العراق حكومة ""كيولية"" عتاگة فاسدة وبرلمان من الساقطين حايرين بتشكيل الحكومة وتاركين البلد والعراقي…;False
17; "عندما تنتهي التحالفات تنتهي الأماني وتبدأ صفحة الإتهامات;IDK
18; "RT @eVj52FVyUnVDB0Q: إلى جميع الاحرار والحرائر الفزعه لدعم حساب الاخ حسين علاء الابيض احد جنود الإعلام في الحشد الشعبي العراقي فحسابه موقوف…;N
19; "RT @ma_m_86: #العراق  ❤️  انجرح بَــس ماانحني ، هيچ انـهَ اشبه موطني .   https://t.co/rmj5lhfpBz;True
20; "RT @abo_holeegah: "" الاعلامي محمد الرزيقي مقدم نشرة الأخبار في قناة اليمن اليوم الفضائية سابقا , و مدير اذاعة هو اليمن حاليا , نشر مقال عن…;IDK
21; "RT @abo_holeegah: "" الاخ احمد الكبسي اعلامي يمني مراسل قناة العهد الفضائية و مذيع بقناة اليمن اليوم نشر مقال عن اضرابي في صفحته في الفيسبوك…;IDK
