"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"8";"1";"1";"118158551572666_2924104270978066";"data";"fetched (200)";"2020-04-21 23:07:30.925748";"Facebook:/<page-id>/posts";"";"وزارة الصحة تعلن عن تسجيل 26 إصابة جديدة بفيروس كورونا و 56 حالة شفاء ليصل العدد الكلي إلى 1539 إصابة بالفيروس بينها 82 حالة وفاة و 1009 حالة شفاء."
"197";"8";"2";"2924104270978066_2924171017638058";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"الحمد لله على كل حال"
"198";"8";"2";"2924104270978066_2924109790977514";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"صباح الخير يمعود 😂"
"199";"8";"2";"2924104270978066_2924107717644388";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"شغل طيب"
"200";"8";"2";"2924104270978066_2924126794309147";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"محتاج شي 😒 عود هو حلها"
"201";"8";"2";"2924104270978066_2924145100973983";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"الحمد لله على كل حال"
"202";"8";"2";"2924104270978066_2924108807644279";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"شونو الحجي"
"203";"8";"2";"2924104270978066_2924129590975534";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"دائما تتاخرون بالاخبار وتخرعون بينا كأنه الخبر جديد "
"204";"8";"2";"2924104270978066_2924154290973064";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"اذا نفس الاصابات شلون يريدون يرفعون الحظر"
"205";"8";"2";"2924104270978066_2924106574311169";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"الحمدالله ع سلامة هاي وين جنتو يمعودين دنيا فجر هسة"
"206";"8";"2";"2924104270978066_2925128214209005";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"كله جذب"
"207";"8";"2";"2924104270978066_2924122137642946";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"قديمه من ال٦ العصر"
"208";"8";"2";"2924104270978066_2924124047642755";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"تدري خوفتنة عبالي هسة الخبر ادري وين جنت نايم متكلي"
"209";"8";"2";"2924104270978066_2924111440977349";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"ادمن زربه"
"210";"8";"2";"2924104270978066_2924569044264922";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"والله كذب"
"211";"8";"2";"2924104270978066_2924210274300799";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"المفروض اسم الصفحة العراق سابقاً مو الان ههههه لان شكو شي قديم تحجو هسه 😂"
"212";"8";"2";"2924104270978066_2924118444309982";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"يكولون الي يموت موت الله بلمستشفى يسجلوه في شهادة الوفاة كورونا"
"213";"8";"2";"2924104270978066_2924111747643985";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"ها نعال بعد وكت"
"214";"8";"2";"2924104270978066_2924108860977607";"data";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";"هههههه جنت نايم يامطي"
"215";"8";"2";"118158551572666_2924104270978066";"offcut";"fetched (200)";"2020-04-21 23:08:46.482608";"Facebook:/<post-id>/comments";"";""
"9";"1";"1";"118158551572666_2924091454312681";"data";"fetched (200)";"2020-04-21 23:07:30.925748";"Facebook:/<page-id>/posts";"";"الفريق الطبي شجاع من دائرة صحة الكرخ في مواجهة بطولية مع فيروس كو رونا في مطار بغداد الدولي و على مدار الساعة ."
"216";"9";"2";"2924091454312681_2925674407487719";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"تحية إجلال وتقدير لهم والله يحفظهم"
"217";"9";"2";"2924091454312681_2924094527645707";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحميهم بحق نبينا محمد صل الله عليه وأله وسلم"
"218";"9";"2";"2924091454312681_2924783464243480";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"👈🌹👉🌹👈🌹👉 ‏# خليك - بالبيت  تحية إجلال وتقدير لأصحاب المعطف الأبيض.. محاربو الصفوف الأولى والجندي الأول والأخير في معركة الحياة ضد الوباء.   فلنكن عوناً لهم ولنبق في منازلنا ولنتجنب التجمعات حتى داخل المنازل.  توكل على الله فهو حسبك  🌷🌷🌷🌷🌷🌷"
"219";"9";"2";"2924091454312681_2924132584308568";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يكون بعونه المريض ربي يصبره "
"220";"9";"2";"2924091454312681_2926075650780928";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"من الله التوفيق والنجاح  ان شاء الله"
"221";"9";"2";"2924091454312681_2924115477643612";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظهم ويبارك بيهم"
"222";"9";"2";"2924091454312681_2924791227576037";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظهم"
"223";"9";"2";"2924091454312681_2924751740913319";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظهم"
"224";"9";"2";"2924091454312681_2924690200919473";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"تخبلون ربي يحفظكم 💐"
"225";"9";"2";"2924091454312681_2924838264238000";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"ربي يحفظكم"
"226";"9";"2";"2924091454312681_2924222904299536";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"صلوات امنورات الله يوفقكم ابعملكم "
"227";"9";"2";"2924091454312681_2924522000936293";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"هذا فريق دعايه وأزياء"
"228";"9";"2";"2924091454312681_2925554497499710";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحميهم"
"229";"9";"2";"2924091454312681_2924392290949264";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"منورين الكادر الطبي"
"230";"9";"2";"2924091454312681_2924953824226444";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"حياك ياابطال الله يحفظكم"
"231";"9";"2";"2924091454312681_2924365150951978";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"صدقه لعيونجن الحلوه.....بكلشي حلوات يحفضجن الله....يالحبيبات"
"232";"9";"2";"2924091454312681_2927087764013050";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"من نجاح الى نجاح نشا الله يبارك فيكم"
"233";"9";"2";"2924091454312681_2924655257589634";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظكم"
"234";"9";"2";"2924091454312681_2924703824251444";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظهم"
"235";"9";"2";"2924091454312681_2924541270934366";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظكم"
"236";"9";"2";"2924091454312681_2924725224249304";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظهم جميعا"
"237";"9";"2";"2924091454312681_2924730680915425";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"ربي يحفظهم ذوله صدك ابطال "
"238";"9";"2";"2924091454312681_2925040787551081";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظكم"
"239";"9";"2";"2924091454312681_2925186954203131";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يحفظكم 🇸🇪🇮🇶🌹🌹🌹🌹"
"240";"9";"2";"2924091454312681_2924914877563672";"data";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";"الله يبعد عنكم شر الفايروس محفوظين بالواحد الاحد"
"241";"9";"2";"118158551572666_2924091454312681";"offcut";"fetched (200)";"2020-04-21 23:08:46.825747";"Facebook:/<post-id>/comments";"";""
