web-scraper-order,web-scraper-start-url,main,main-href,text
"1586557592-8686","https://www.azzaman.com/category/news/page/21","العراق: تساقط ثلوج شمالاً وزخات مطر في الوسط","https://www.azzaman.com/%d8%a7%d9%84%d8%a3%d9%86%d9%88%d8%a7%d8%a1-%d8%aa%d8%b3%d8%a7%d9%82%d8%b7-%d8%ab%d9%84%d9%88%d8%ac-%d8%b4%d9%85%d8%a7%d9%84%d8%a7%d9%8b-%d9%88%d8%b2%d8%ae%d8%a7%d8%aa-%d9%85%d8%b7%d8%b1-%d9%81%d9%8a/","بغداد – فائز جواد"
"1586556735-6950","https://www.azzaman.com/category/news/page/28","العظيم تشكو من إنقطاع الكهرباء منذ  20 يوماً","https://www.azzaman.com/%d8%a7%d9%84%d8%b9%d8%b8%d9%8a%d9%85-%d8%aa%d8%b4%d9%83%d9%88-%d9%85%d9%86-%d8%a5%d9%86%d9%82%d8%b7%d8%a7%d8%b9-%d8%a7%d9%84%d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a1-%d9%85%d9%86%d8%b0-20-%d9%8a/","واضاف الحيالي لـ (الزمان )ان  (حملة تطهير مدارس ناحية ابي صيدا المركز من المخلفات التي تركتها الاشتباكات العشائرية انتهت بعد اجراء عملية تمشيط واسعة من قبل الاجهزة الامنية المختصة) . واوضح  الحياليان  (ادارة ناحية ابي صيدا اصدرت توجيهات للكوادر التدريسية بضرورة ابلاغ الاهالي بأن الاسبوع الحالي  دوام رسمي في كل المدارس بعد اغلاقها لأكثر من اسبوع بسبب الاشتباكات العشائرية وتداعياتها على الامن بشكل عام)لافتا الى ان  (الاوضاع الامنية في مركز الناحية مستقرة وهادئة  وعملية فرض القانون مستمرة في تطبيق كل مساراتها)  ."
"1586557183-7374","https://www.azzaman.com/category/news/page/26","النص الحرفي لبيان الحرس الثوري بعد قصفه القوات الأميركية في العراق","https://www.azzaman.com/%d8%a7%d9%84%d9%86%d8%b5-%d8%a7%d9%84%d8%ad%d8%b1%d9%81%d9%8a-%d9%84%d8%a8%d9%8a%d8%a7%d9%86-%d8%a7%d9%84%d8%ad%d8%b1%d8%b3-%d8%a7%d9%84%d8%ab%d9%88%d8%b1%d9%8a-%d8%a8%d8%b9%d8%af-%d9%82%d8%b5%d9%81/","زمن تحقق الوعد الصادق قد حلّ، وباذن الله تعالى فقد تمكّن أبطال القوة الجوفضائية للحرس الثوري الشجعان في عمليات ناجحة باسم “عمليات الشهيد سليماني” وبكلمة السرّ المقدسة “يا زهراء” من دكّ القاعدة الجوية الاحتلالية للجيش الأميركي الإرهابي والعدواني المسمّاة “عين الأسد” بعشرات الصواريخ “أرض- أرض”، وذلك ردّاً على العمليات الإجرامية والإرهابية للقوات الأميركية المعتدية وثأراً لعملية الاغتيال الغادرة للشهيد المظلوم والقائد البطل والمضحّي والزاخر بالمفاخر لقوات “القدس” التابعة للحرس الثوري الفريق سليماني."
"1586557454-8264","https://www.azzaman.com/category/news/page/23","صحفيون يرفضون دعوات حمل السلاح ويفاتحون جهات دولية للتدخل ووقف الإنتهاكات","https://www.azzaman.com/%d8%b5%d8%ad%d9%81%d9%8a%d9%88%d9%86-%d9%8a%d8%b1%d9%81%d8%b6%d9%88%d9%86-%d8%af%d8%b9%d9%88%d8%a7%d8%aa-%d8%ad%d9%85%d9%84-%d8%a7%d9%84%d8%b3%d9%84%d8%a7%d8%ad-%d9%88%d9%8a%d9%81%d8%a7%d8%aa%d8%ad/","ونقل بيان تلقته (الزمان) عن مدير الشبكة سامان نوح القول ان (الملتقى الذي عقدته الشبكة  للصحافة الاستقصائية وبدعم من منظمة أ . ام . اس تضمن ست جلسات حوارية عامة،وجلسات تشاورية شارك فيها أكثر من 30 متحدثا من الصحفيين والاكاديميين وقادة منظمات معنية بالشأن الصحفي،الى جانب ورشتين تدربيتين تركزتا على فَنَي كتابة التقارير السردية والفيتشر شارك فيهما 40 صحفيا وطالبا)."
"1586556545-6850","https://www.azzaman.com/category/news/page/28","جرحى في اعتداء يستهدف منزل حاخام قرب نيويورك","https://www.azzaman.com/%d8%ac%d8%b1%d8%ad%d9%89-%d9%81%d9%8a-%d8%a7%d8%b9%d8%aa%d8%af%d8%a7%d8%a1-%d9%8a%d8%b3%d8%aa%d9%87%d8%af%d9%81-%d9%85%d9%86%d8%b2%d9%84-%d8%ad%d8%a7%d8%ae%d8%a7%d9%85-%d9%82%d8%b1%d8%a8-%d9%86%d9%8a/","وقال شاهد عيان هو آرون كون “صلّيت من أجل حياتي”. وأضاف في حديث لصحيفة “نيويورك تايمز” أن السلاح الأبيض الذي استخدمه المهاجم “كان بحجم عصا مكنسة”."
"1586557266-7639","https://www.azzaman.com/category/news/page/25","ديالى تكشف عن قرار بإغلاق مخيم معسكر سعد للنازحين","https://www.azzaman.com/%d8%af%d9%8a%d8%a7%d9%84%d9%89-%d8%aa%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%82%d8%b1%d8%a7%d8%b1-%d8%a8%d8%a5%d8%ba%d9%84%d8%a7%d9%82-%d9%85%d8%ae%d9%8a%d9%85-%d9%85%d8%b9%d8%b3%d9%83%d8%b1-%d8%b3%d8%b9/","ومن جانب آخر كشف قائممقام قضاء بعقوبة  ، عن حجم التلوث في اثنين من اهم أنهر المحافظة."
"1586556367-6356","https://www.azzaman.com/category/news/page/30","السيستاني: وفاة الخلخالي خسارة فادحة","https://www.azzaman.com/%d8%a7%d9%84%d8%b3%d9%8a%d8%b3%d8%aa%d8%a7%d9%86%d9%8a-%d9%88%d9%81%d8%a7%d8%a9-%d8%a7%d9%84%d8%ae%d9%84%d8%ae%d8%a7%d9%84%d9%8a-%d8%ae%d8%b3%d8%a7%d8%b1%d8%a9-%d9%81%d8%a7%d8%af%d8%ad%d8%a9/","السيستاني: وفاة الخلخالي خسارة فادحة"
"1586557143-7232","https://www.azzaman.com/category/news/page/26","محتجّون لـ (الزمان) : نحذّر من تجاهل مطالبنا","https://www.azzaman.com/%d9%85%d8%ad%d8%aa%d8%ac%d9%91%d9%88%d9%86-%d9%84%d9%80-%d8%a7%d9%84%d8%b2%d9%85%d8%a7%d9%86-%d9%86%d8%ad%d8%b0%d9%91%d8%b1-%d9%85%d9%86-%d8%aa%d8%ac%d8%a7%d9%87%d9%84-%d9%85%d8%b7%d8%a7%d9%84/","محتجّون لـ (الزمان) : نحذّر من تجاهل مطالبنا"
"1586557541-8487","https://www.azzaman.com/category/news/page/22","هجرة خانقين  تكشف عن إنخفاض أعداد نازحي مخيمات الوند","https://www.azzaman.com/%d8%a7%d9%84%d8%b4%d9%85%d8%b1%d9%8a-%d9%8a%d8%aa%d8%b3%d9%84%d9%91%d9%85-%d9%85%d9%86%d8%b5%d8%a8-%d9%82%d8%a7%d8%a6%d8%af-%d8%b4%d8%b1%d8%b7%d8%a9-%d9%85%d8%ad%d8%a7%d9%81%d8%b8%d8%a9-%d8%af%d9%8a/","واضاف المعموري  إننا (إذ ندين بأشد عبارات الإدانة هذه الجريمة الإرهابية الجبانة  ندعو الأجهزة الأمنية في محافظة ديالى إلى إتخاذ إجراءاتها اللازمة للكشف عن ملابسات الحادث الجبان وتقديم الجناة إلى المحاكم المختصة لينالوا جزاؤهم العادل ) ."
"1586557594-8693","https://www.azzaman.com/category/news/page/21","طريق الموت يحصد أرواح عائلتين في ديالى وكركوك","https://www.azzaman.com/%d8%a7%d9%84%d8%a3%d9%87%d8%a7%d9%84%d9%8a-%d9%8a%d9%86%d8%a7%d8%b4%d8%af%d9%88%d9%86-%d9%88%d8%b2%d9%8a%d8%b1-%d8%a7%d9%84%d8%a5%d8%b3%d9%83%d8%a7%d9%86-%d9%88%d8%a7%d9%84%d8%a5%d8%b9%d9%85%d8%a7/","العمارة – سعدون الجابري"
