web-scraper-order,web-scraper-start-url,maillinks,maillinks-href,sublinks,sublinks-href,sublinktext
"1586524062-940","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","7","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=7","اخبار العراق 
                                        
                                        جريمة إغواء الحدث على تعاطي المخدرات و المؤثرات العقلية
                                        القاضي ناصر عمران الموسوي

الجريمة في المفهوم الفقهي الشرعي محظورات زجر الله عنها بحد أو التعزير حسب ما يراها الماوردي  وفي الفقه القانوني هي : كل فعل او امتناع يأتيه الانسان اضرارا بمصلحة حماها القانون ، ويترتب عليه اثر جنائي يتمثل بالعقوبة او التدبير الاحترازي وأياً تكن العقوبة شرعا او قانونا فهي متبنيات ردع مجتمعية","http://alsabaah.iq/22863/%D8%AC%D8%B1%D9%8A%D9%85%D8%A9-%D8%A5%D8%BA%D9%88%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D8%AF%D8%AB-%D8%B9%D9%84%D9%89-%D8%AA%D8%B9%D8%A7%D8%B7%D9%8A-%D8%A7%D9%84%D9%85%D8%AE%D8%AF%D8%B1%D8%A7%D8%AA-%D9%88-%D8%A7%D9%84%D9%85%D8%A4%D8%AB%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%82%D9%84%D9%8A%D8%A9","و المخدرات واحدة من اهم التهديدات والتحديات التي يعاني منها المجتمع وظاهرة  تعاطي المخدرات والمؤثرات العقلية مشكلة عالمية كونها  حجر الاساس في  تجارة المخدرات التي تتنوع وتتشكل  منتهية  بغاية اساس وهي الوصول بالمادة المخدرة الى المستهلك ، واذا كانت المتاجرة بالمخدرات وتعاطيها جرائم شديدة الخطورة حذرت منها المؤسسات الدولية واشارت اليها اتفاقية الامم المتحدة لمكافحة الاتجار غير المشروع بالمخدرات والمؤثرات العقلية لسنة 1988 ، فان جريمة اغواء الاحداث على تعاطي المخدرات والمؤثرات العقلية من أخطرِ المشكلات الاجتماعية  لتأثيرها المُباشر في البنية الاجتماعية والاقتصادية للمجتمع والفرد، ولِما تُحدِثهُ من ضررٍ بالغٍ لمن يتعاطاها، أو يُتاجر فيها، وتنعكس هذه الأضرار على أسرة المُتعاطي، ومن ثمَّ على المجتمع الذي يُحيط به بصورة مباشرة أو غير مباشرة  والاغراء بالمعنى اللغوي : هو حث الغير على فعل ما يرغبه ،  سواء كان هذا المرغوب مالا او لذة جسدية او كل ما يتصور ان يكون مرغوبا .فالرغبة قوة طاغية وقيد محكم الربط على القلوب .وشدة الرغبة في شيء تزين للنفس الاقدام على أي فعل لإشباع الرغبة."
"1586524125-1091","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","5","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=5","اخبار العراق 
                                        
                                        توزيع 26 ألف حصة إغاثية بين النازحين 
                                        بغداد / اسراء السامرائي 
أفادت وزارة الهجرة والمهجرين بانها وزعت 26 الف حصة اغاثية ونفطا ابيض بين النازحين العائدين ضمن ثلاث محافظات","http://alsabaah.iq/23037/%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-26-%D8%A3%D9%84%D9%81-%D8%AD%D8%B5%D8%A9-%D8%A5%D8%BA%D8%A7%D8%AB%D9%8A%D8%A9-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%86%D8%A7%D8%B2%D8%AD%D9%8A%D9%86","وبين جهاكير ان المساعدات التي وزعت بين الاسر العائدة ضمن محافظة ديالى شملت تلك العائدة الى قضاء المقدادية وقريتي الوقف والكبة  بواقع سبعة الاف و902 حصة اغاثية، منوها بانه تم توزيع سبعة الاف و124 حصة اغاثية بين الاسر العائدة الى محافظة الانبار وتحديدا ضمن اقضيةالفلوجة والقائم والرطبة وعامرية الفلوجة وبزيبز، مشيرا في السياق نفسه الى انه تم توزيع 20 الف لتر من مادة النفط الابيض ضمن محافظة ديالى في قضاء خانقين، علاوة على 100 لتر لكل اسرة في محافظة الانبار."
"1586524130-1136","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","5","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=5","اخبار العراق 
                                        
                                        الصحة تدعو الوافدين من الخارج إلى الالتزام  بإجراءات الوقاية من {كورونا}
                                        بغداد / المحافظات / مراسلو الصباح

ثمنت المرجعية الدينية الجهود المتواصلة التي تبذلها الملاكات الطبية والصحية في التصدي لفيروس (كورونا)","http://alsabaah.iq/23040/%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%AA%D8%AF%D8%B9%D9%88-%D8%A7%D9%84%D9%88%D8%A7%D9%81%D8%AF%D9%8A%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%A7%D9%84%D8%AA%D8%B2%D8%A7%D9%85-%D8%A8%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D9%82%D8%A7%D9%8A%D8%A9-%D9%85%D9%86-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7","من جهته، قال مسؤول العلاقات في محافظة كركوك دلير صمد لـ”الصباح” ان دائرة صحة كركوك دعت الدوائر المعنية التي توسيع حملات التوعية بشأن فيروس (كورونا) تنفيذا للامر الديواني 55 وتعليمات وزارة الصحة والبيئة لمنع انتشار الفيروس، حيث تعتزم نشر مواد التوعية والتثقيف للمواطنين من خلال الاذاعات والقنوات المرئية ومواقع التواصل الاجتماعي، مع توزيع البوسترات التوضيحية."
"1586524012-862","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","9","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=9","اخبار العراق 
                                        
                                        قرب توزيع دفعة جديدة من الأراضي السكنية في صلاح الدين
                                        صلاح الدين / سمير عادل 

افادت دائرة بلدية صلاح الدين باستمرار العمل بانجاز الموافقات الخاصة لتوزيع الاراضي بين الشرائح المشمولة.","http://alsabaah.iq/22648/%D9%82%D8%B1%D8%A8-%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-%D8%AF%D9%81%D8%B9%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D8%A7%D9%84%D8%B3%D9%83%D9%86%D9%8A%D8%A9-%D9%81%D9%8A-%D8%B5%D9%84%D8%A7%D8%AD-%D8%A7%D9%84%D8%AF%D9%8A%D9%86","افادت دائرة بلدية صلاح الدين باستمرار العمل بانجاز الموافقات الخاصة لتوزيع الاراضي بين الشرائح المشمولة."
"1586524157-1267","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","4","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=4","اخبار العراق 
                                        
                                        تأهيل خط سكة حديد بيجي – مصافي القيارة
                                        بغداد / علا ثامر

 أعادتْ وزارةُ النقلِ تشغيلَ خطِ سككِ الحديد (بيجي - مصافي القيارة) بعدَ انقطاعٍ دامَ 16 عاما، منْ اجلِ ضمان نقل المشتقات النفطية الى جميع المحافظات، بينما اكدت سعيها لربط سكك ال","http://alsabaah.iq/23170/%D8%AA%D8%A3%D9%87%D9%8A%D9%84-%D8%AE%D8%B7-%D8%B3%D9%83%D8%A9-%D8%AD%D8%AF%D9%8A%D8%AF-%D8%A8%D9%8A%D8%AC%D9%8A-%D9%85%D8%B5%D8%A7%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%B1%D8%A9","دام 16عاما."
"1586524000-802","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","9","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=9","اخبار العراق 
                                        
                                        «تحوطات وقائية» لمنع تسجيل إصابات جديدة بـ {كورونا» 
                                        بغداد / المحافظات / مراسلو الصباح

يمضي العراق بشكل سريع نحو تحجيم انتشار فيروس “كورونا”","http://alsabaah.iq/22582/%D8%AA%D8%AD%D9%88%D8%B7%D8%A7%D8%AA-%D9%88%D9%82%D8%A7%D8%A6%D9%8A%D8%A9-%D9%84%D9%85%D9%86%D8%B9-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D8%A5%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%A8%D9%80-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7","وأضاف الحسن “أننا نسعى لإنشاء محاجر صحية على الحدود بإقامة مخيمات مجهزة بجميع المستلزمات”، مشيراً إلى أن “هناك نحو 8 آلاف عراقي وافد من إيران ويجري عمل الفحوصات للتأكد من خلوهم من الفيروس”."
"1586524136-1144","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","4","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=4","اخبار العراق 
                                        
                                        القوى السياسية تواصل مشاوراتها  لتسمية رئيس وزراء جديد 
                                        بغداد / الصباح / مهند عبد الوهاب 

بينما عاد ملف تكليف رئيس وزراء جديد لرئاسة الحكومة في المرحلة المقبلة إلى المربع الأول","http://alsabaah.iq/23105/%D8%A7%D9%84%D9%82%D9%88%D9%89-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D9%85%D8%B4%D8%A7%D9%88%D8%B1%D8%A7%D8%AA%D9%87%D8%A7-%D9%84%D8%AA%D8%B3%D9%85%D9%8A%D8%A9-%D8%B1%D8%A6%D9%8A%D8%B3-%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D8%AC%D8%AF%D9%8A%D8%AF","وأضاف، ان ""القوى الشيعية تدرك صعوبة الموقف خاصة أن عدم تمرير علاوي شكل منعطفا خطيرا، وبالتالي فان الكتل الشيعية تدرك خطورة الموقف، وعلى إثر ذلك فان الكتل ستعرض مرشحها على باقي الأطراف السنية والكردية من أجل الاتفاق على تسلمه رئاسة الوزراء""."
"1586524014-875","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","9","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=9","اخبار العراق 
                                        
                                        حزمة مشاريع ستراتيجية للنهوض بالصناعة الوطنية
                                        بغداد / شذى الجنابي

اعدت المديرية العامة للتنمية الصناعية حزمة مشاريع وبرامج عمل سيتم تنفيذها خلال العام الحالي بهدف النهوض بالصناعة الوطنية","http://alsabaah.iq/22650/%D8%AD%D8%B2%D9%85%D8%A9-%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D8%B3%D8%AA%D8%B1%D8%A7%D8%AA%D9%8A%D8%AC%D9%8A%D8%A9-%D9%84%D9%84%D9%86%D9%87%D9%88%D8%B6-%D8%A8%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9","وذكر معاون مدير عام المديرية ان الاف المعامل القديمة متوقفة منذ اعوام طويلة بقطاع الصناعات النسيجية بسبب استحواذ المنتج الاجنبي على السوق المحلية والذي يشكل عبئا على المواطن بسبب رداءة صناعته، وانخفاض اسعاره مقارنة بنظيره المحلي الذي يمتاز بجودته وكفاءته، مؤكدا المساعي لاعادة تشغيل تلك المعامل من خلال الحصول على القروض، وحماية المنتج واعادة رفدها بخطوط انتاجية جديدة."
"1586523974-706","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","10","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=10","اخبار العراق 
                                        
                                        «تدابير جديدة» لمواجهة فيروس «كورونا»
                                        بغداد / الصباح

في ظل الاستنفار الوقائي والاجراءات المتبعة من قبل العراق لتحجيم فيروس كورونا","http://alsabaah.iq/22452/%D8%AA%D8%AF%D8%A7%D8%A8%D9%8A%D8%B1-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%84%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7","بدوره، اوضح المتحدث باسم وزارة التربية حيدر فاروق في تصريح صحفي ان»هناك إجراءات وقائية اتخذتها وزارة التربية عبر مديرياتها كافة»، مبيناً أن»الإجراءات تتضمن التعبوية والمنشورات التي تعمم على المدارس، فضلاً عن محاضرات لتوعية الطلبة والتلاميذ عن خطورة هذا المرض وكيفية الوقاية منه»."
"1586524183-1356","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82","2","http://alsabaah.iq/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82?page=2","اخبار العراق 
                                        
                                        ألبان الموصل تعود إلى الأسواق المحلية
                                        ألبان الموصل تعود إلى الأسواق المحلية
عاودت شركة البان الموصل انتاجها بعد انجاز اعمال تأهيل خطوطها الانتاجية التي توقفت عن العمل خلال الاحداث التي رافقت وجود عصابات داعش الارهابية في المدينة.","http://alsabaah.iq/23298/%D8%A3%D9%84%D8%A8%D8%A7%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%B5%D9%84-%D8%AA%D8%B9%D9%88%D8%AF-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D8%B3%D9%88%D8%A7%D9%82-%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%8A%D8%A9","واوضح ان المعمل باشر إنتاج الألبان بمختلف العبوات وبطاقة اجمالية بلغت طنين أسبوعياً، والجبن المطبوخ بطاقة طن واحد وطرحها في الأسواق المحلية بجودة ونوعية عاليتين."
